X,Y,C
619,18,2
649,58,2
483,76,0
781,36,4
606,63,2
449,86,0
276,53,1
405,79,0
256,74,1
411,79,0
683,35,2
859,42,4
450,3,0
680,87,2
691,84,2
59,64,3
606,95,2
706,52,2
271,11,1
640,13,2
741,91,4
175,1,3
411,78,0
66,13,3
555,16,2
359,80,1
394,99,0
143,83,3
865,38,4
843,74,4
148,62,3
887,28,4
593,45,2
252,50,1
621,43,2
62,71,3
674,87,2
235,26,1
384,26,0
301,71,1
290,66,1
661,57,2
410,89,0
265,100,1
603,14,2
719,48,2
542,86,0
205,8,1
247,100,1
523,17,0
677,16,2
13,73,3
441,64,0
74,70,3
788,87,4
13,28,3
733,78,4
815,3,4
75,15,3
713,14,2
216,50,1
267,15,1
191,29,1
899,26,4
871,35,4
729,86,4
753,87,4
463,63,0
390,62,0
537,64,0
444,62,0
303,52,1
252,15,1
310,6,1
639,49,2
190,40,1
125,27,3
861,65,4
546,14,2
875,71,4
716,95,2
435,10,0
897,27,4
825,13,4
279,66,1
484,71,0
741,31,4
693,37,2
130,38,3
764,89,4
891,53,4
887,7,4
821,62,4
712,78,2
198,75,1
399,63,0
267,45,1
436,40,0
788,9,4
447,89,0
242,3,1
275,9,1
727,16,4
847,42,4
18,24,3
468,10,0
446,26,0
596,25,2
466,7,0
144,55,3
635,56,2
620,99,2
61,45,3
268,51,1
683,57,2
541,93,0
707,96,2
331,5,1
439,96,0
621,58,2
681,22,2
289,26,1
646,88,2
608,26,2
508,40,0
398,69,0
618,95,2
586,29,2
493,84,0
158,55,3
218,63,1
154,95,3
785,59,4
868,73,4
365,63,0
385,35,0
122,33,3
617,18,2
482,42,0
223,30,1
302,55,1
713,29,2
204,73,1
262,97,1
713,38,2
585,43,2
459,39,0
530,17,0
585,95,2
123,24,3
446,82,0
98,47,3
756,49,4
646,79,2
327,25,1
509,48,0
399,60,0
4,67,3
259,87,1
540,56,0
611,41,2
291,63,1
758,28,4
492,16,0
138,19,3
654,60,2
498,62,0
369,85,0
753,25,4
89,96,3
576,78,2
542,8,0
439,26,0
56,55,3
582,11,2
571,44,2
582,86,2
817,35,4
552,41,2
821,86,4
557,64,2
840,55,4
224,80,1
271,96,1
705,45,2
406,66,0
870,51,4
796,38,4
5,66,3
417,55,0
348,7,1
508,48,0
643,4,2
363,14,1
93,86,3
137,72,3
391,96,0
516,67,0
753,51,4
894,84,4
883,18,4
300,4,1
469,4,0
135,27,3
587,36,2
20,48,3
849,62,4
4,37,3
888,52,4
528,21,0
571,57,2
178,78,3
518,8,0
895,96,4
81,10,3
282,46,1
701,91,2
520,88,0
723,31,4
900,95,4
322,14,1
317,47,1
299,83,1
15,10,3
8,16,3
51,2,3
484,8,0
603,57,2
496,84,0
177,76,3
63,49,3
157,90,3
263,50,1
572,71,2
848,88,4
405,31,0
351,20,1
228,32,1
466,92,0
723,18,4
283,9,1
848,19,4
683,97,2
659,59,2
555,41,2
746,73,4
163,54,3
487,79,0
581,30,2
782,60,4
349,83,1
666,72,2
169,1,3
66,18,3
523,45,0
306,67,1
26,67,3
320,9,1
28,59,3
32,76,3
440,76,0
637,18,2
801,14,4
866,45,4
863,81,4
194,65,1
350,37,1
798,94,4
251,67,1
565,12,2
481,20,0
891,18,4
355,70,1
776,69,4
222,73,1
221,65,1
77,43,3
1,67,3
162,72,3
536,34,0
864,95,4
