X,Y,C
619,18,3
649,58,3
483,76,1
781,36,2
606,63,3
449,86,1
276,53,4
405,79,1
256,74,4
411,79,1
683,35,3
859,42,2
450,3,1
680,87,3
691,84,3
59,64,0
606,95,3
706,52,3
271,11,4
640,13,3
741,91,2
175,1,0
411,78,1
66,13,0
555,16,3
359,80,1
394,99,1
143,83,0
865,38,2
843,74,2
148,62,0
887,28,2
593,45,3
252,50,4
621,43,3
62,71,0
674,87,3
235,26,4
384,26,1
301,71,4
290,66,4
661,57,3
410,89,1
265,100,4
603,14,3
719,48,2
542,86,3
205,8,4
247,100,4
523,17,1
677,16,3
13,73,0
441,64,1
74,70,0
788,87,2
13,28,0
733,78,2
815,3,2
75,15,0
713,14,3
216,50,4
267,15,4
191,29,4
899,26,2
871,35,2
729,86,2
753,87,2
463,63,1
390,62,1
537,64,3
444,62,1
303,52,4
252,15,4
310,6,4
639,49,3
190,40,4
125,27,0
861,65,2
546,14,3
875,71,2
716,95,3
435,10,1
897,27,2
825,13,2
279,66,4
484,71,1
741,31,2
693,37,3
130,38,0
764,89,2
891,53,2
887,7,2
821,62,2
712,78,3
198,75,4
399,63,1
267,45,4
436,40,1
788,9,2
447,89,1
242,3,4
275,9,4
727,16,2
847,42,2
18,24,0
468,10,1
446,26,1
596,25,3
466,7,1
144,55,0
635,56,3
620,99,3
61,45,0
268,51,4
683,57,3
541,93,3
707,96,3
331,5,4
439,96,1
621,58,3
681,22,3
289,26,4
646,88,3
608,26,3
508,40,1
398,69,1
618,95,3
586,29,3
493,84,1
158,55,0
218,63,4
154,95,0
785,59,2
868,73,2
365,63,1
385,35,1
122,33,0
617,18,3
482,42,1
223,30,4
302,55,4
713,29,3
204,73,4
262,97,4
713,38,3
585,43,3
459,39,1
530,17,1
585,95,3
123,24,0
446,82,1
98,47,0
756,49,2
646,79,3
327,25,4
509,48,1
399,60,1
4,67,0
259,87,4
540,56,3
611,41,3
291,63,4
758,28,2
492,16,1
138,19,0
654,60,3
498,62,1
369,85,1
753,25,2
89,96,0
576,78,3
542,8,3
439,26,1
56,55,0
582,11,3
571,44,3
582,86,3
817,35,2
552,41,3
821,86,2
557,64,3
840,55,2
224,80,4
271,96,4
705,45,3
406,66,1
870,51,2
796,38,2
5,66,0
417,55,1
348,7,4
508,48,1
643,4,3
363,14,1
93,86,0
137,72,0
391,96,1
516,67,1
753,51,2
894,84,2
883,18,2
300,4,4
469,4,1
135,27,0
587,36,3
20,48,0
849,62,2
4,37,0
888,52,2
528,21,1
571,57,3
178,78,4
518,8,1
895,96,2
81,10,0
282,46,4
701,91,3
520,88,1
723,31,2
900,95,2
322,14,4
317,47,4
299,83,4
15,10,0
8,16,0
51,2,0
484,8,1
603,57,3
496,84,1
177,76,0
63,49,0
157,90,0
263,50,4
572,71,3
848,88,2
405,31,1
351,20,4
228,32,4
466,92,1
723,18,2
283,9,4
848,19,2
683,97,3
659,59,3
555,41,3
746,73,2
163,54,0
487,79,1
581,30,3
782,60,2
349,83,4
666,72,3
169,1,0
66,18,0
523,45,1
306,67,4
26,67,0
320,9,4
28,59,0
32,76,0
440,76,1
637,18,3
801,14,2
866,45,2
863,81,2
194,65,4
350,37,4
798,94,2
251,67,4
565,12,3
481,20,1
891,18,2
355,70,4
776,69,2
222,73,4
221,65,4
77,43,0
1,67,0
162,72,0
536,34,3
864,95,2
575,29,3
172,36,0
403,34,1
749,48,2
310,61,4
327,78,4
507,97,1
409,13,1
587,92,3
457,89,1
702,92,3
96,54,0
589,21,3
562,83,3
38,53,0
120,3,0
437,20,1
520,75,1
257,51,4
445,6,1
415,1,1
186,36,4
825,76,2
34,16,0
604,20,3
734,80,2
780,18,2
148,77,0
380,91,1
46,18,0
638,45,3
755,70,2
61,68,0
831,40,2
146,4,0
49,70,0
185,43,4
573,39,3
389,92,1
469,73,1
804,48,2
60,72,0
771,68,2
624,100,3
155,47,0
255,31,4
293,3,4
416,89,1
379,52,1
290,35,4
208,18,4
786,54,2
307,78,4
710,12,3
30,87,0
57,100,0
391,60,1
204,83,4
84,20,0
544,65,3
618,67,3
359,50,1
783,75,2
628,23,3
718,87,2
225,41,4
186,38,4
689,82,3
464,6,1
861,41,2
183,9,4
765,42,2
228,72,4
37,77,0
283,44,4
240,62,4
835,36,2
13,69,0
372,50,1
377,27,1
201,28,4
59,31,0
283,14,4
716,58,3
761,46,2
524,79,1
404,73,1
214,48,4
808,52,2
485,36,1
882,100,2
602,33,3
357,94,1
815,3,2
607,96,3
344,51,4
668,87,3
417,36,1
105,15,0
460,80,1
460,44,1
676,85,3
276,65,4
558,72,3
772,30,2
854,94,2
348,1,4
354,81,4
52,22,0
266,86,4
246,30,4
482,53,1
10,57,0
244,64,4
104,37,0
594,68,3
553,94,3
874,97,2
687,65,3
394,93,1
710,36,3
772,48,2
324,83,4
666,73,3
626,23,3
629,41,3
13,41,0
868,58,2
135,54,0
525,33,1
267,83,4
16,91,0
720,32,2
652,37,3
799,58,2
830,3,2
709,57,3
293,92,4
316,74,4
390,58,1
217,56,4
675,40,3
519,79,1
132,94,0
501,70,1
317,73,4
